num,playerid,name,pos,ht,wt,from,Seasons,class,season4,htft,htin
9,191,Tommy Hughes ,G ,6-0 ,180 ,"Sumter, S.C. ",1948-50 ,Sr.,1950 ,6,0 
12,243,Bill Martin ,G ,6-1 ,175 ,"Portsmouth, Va. ",1947-50 ,Sr.,1950 ,6,1 
11,319,Dave Scarborough ,F ,6-3 ,165 ,"Philadelphia, Pa. ",1947-50 ,Sr.,1950 ,6,3 
50,410,Wes Skibstead ,C ,6-2 ,180 ,"Miami, Fla. ",1947-50 ,Sr.,1950 ,6,2 
14,385,Corren Youmans ,F ,6-1 ,175 ,"Miami, Fla. ",1947-50 ,Sr.,1950 ,6,1 
27,5,Dayton Allen ,,6-7 ,208 ,"McKeesport, Pa. ",1950-51 ,Sr.,1951 ,6,7 
34,413,Rod Boyce ,F ,6-4 ,190 ,"Greenwich, Conn. ",1951 ,Sr.,1951 ,6,4 
0,477,Lloyd Caudle ,,0-0 ,0 ,,1951 ,,1951 ,0,0 
11,412,Bill Downing ,F ,6-2 ,165 ,"Decatur, Ill. ",1951 ,Sr.,1951 ,6,2 
21,409,John Engberg ,F ,6-2 ,185 ,"Bradentown, Fla. ",1950-51 ,Sr.,1951 ,6,2 
17,219,Red Kulpan ,C ,6-6 ,175 ,"Norfolk, Va. ",1950-51 ,Sr.,1951 ,6,6 
0,499,Jack Lasseter ,,0-0 ,0 ,,1951 ,,1951 ,0,0 
0,414,Bob Strauss ,,0-0 ,0 ,,1951 ,,1951 ,0,0 
12,384,Scotty York ,F/G ,6-0 ,175 ,"Cleveland Heights, Ohio ",1948-51 ,Sr.,1951 ,6,0 
33,102,Dick Crowder ,C ,6-5 ,195 ,"High Point, N.C. ",1950-52 ,Sr.,1952 ,6,5 
14,112,Kes Deimling ,C/F ,6-4 ,195 ,"Chicago, Ill. ",1951-52 ,Jr.,1952 ,6,4 
31,138,Bill Fleming ,F ,6-3 ,195 ,"Philadelphia, Pa. ",1950-52 ,Sr.,1952 ,6,3 
32,148,Carl Glasow ,C ,6-4 ,190 ,"Rochester, N.Y. ",1952 ,Sr.,1952 ,6,4 
10,159,Dick Groat ,G ,6-0 ,180 ,"Swissvale, Pa. (Swissvale) ",1950-52 ,Sr.,1952 ,6,0 
24,202,Dick Johnson ,G ,6-0 ,170 ,"Dayton, Ohio ",1951-52 ,Sr.,1952 ,6,0 
23,227,Dick Latimer ,G/F ,6-2 ,165 ,"Bethesda, Md. ",1950-52 ,Sr.,1952 ,6,2 
41,416,Tommy Peters ,G ,5-9 ,155 ,"McKeesport, Pa. ",1953 ,So.,1953 ,5,9 
23,301,Bill Riegel ,G ,6-4 ,180 ,"Monaca, Pa. ",1953 ,So.,1953 ,6,4 
15,113,Rudy D'Emilio ,G ,5-11 ,175 ,"Philadelphia, Pa. ",1952-54 ,Sr.,1954 ,5,11 
22,110,Marv Decker ,F ,6-5 ,190 ,"Bloomfield, N.J. ",1952-54 ,Sr.,1954 ,6,5 
32,121,Charles Driesell ,F/C ,6-4 ,195 ,"Norfolk, Va. ",1952-54 ,Sr.,1954 ,6,4 
20,200,Bernie Janicki ,F ,6-4 ,180 ,"Ambridge, Pa. ",1952-54 ,Sr.,1954 ,6,4 
21,221,Rudy Lacy ,C/F ,6-4 ,185 ,"Roanoke, Va. ",1952-54 ,Sr.,1954 ,6,4 
34,323,Fred Shabel ,G ,6-0 ,190 ,"Union City, N.J. ",1952-54 ,Sr.,1954 ,6,0 
22,34,Tom Blackburn ,G,6-0 ,165 ,"W. Upton, Mass. ",1955 ,So.,1955 ,6,0 
23,118,Marty Doherty ,C ,6-9 ,200 ,"Pelham, N.Y. ",1954-55 ,So.,1955 ,6,9 
13,224,Herky Lamley ,C ,6-4 ,195 ,"Havertown, Pa. ",1953-55 ,Sr.,1955 ,6,4 
15,408,Jim Rogers ,G,6-0 ,160 ,"Athens, W. Va. ",1955 ,So.,1955 ,6,0 
12,348,Bob Thuemmel ,G,6-0 ,175 ,"Englewood, N.J. ",1955 ,So.,1955 ,6,0 
14,351,Don Tobin ,F ,6-5 ,185 ,"Avalon, Pa. ",1954-55 ,Jr.,1955 ,6,5 
42,352,Hal Turner ,G ,5-10 ,170 ,"Englewood, N.J. ",1953-55 ,Sr.,1955 ,5,10 
30,27,Joe Belmont ,G ,5-11 ,165 ,"Philadelphia, Pa. ",1953-56 ,Sr.,1956 ,5,11 
13,56,Tony Buhowsky ,C ,6-9 ,245 ,"Rossello Park, N.J. ",1956 ,So.,1956 ,6,9 
24,73,Don Cashman ,F ,6-4 ,170 ,"New York City, N.Y. ",1953-56 ,Sr.,1956 ,6,4 
34,206,Jack Kalbfus ,G ,6-3 ,175 ,"Greensburg, Pa. ",1955-56 ,Sr.,1956 ,6,3 
35,245,Ronnie Mayer ,F ,6-4 ,185 ,"Avalon, Pa. ",1953-56 ,Sr.,1956 ,6,4 
33,266,Junior Morgan ,C ,6-7 ,195 ,"Asheboro, N.C. ",1954-56 ,Sr.,1956 ,6,7 
21,51,Ed Bryson ,F ,6-4 ,185 ,"Durham, N.C. ",1956-57 ,Sr.,1957 ,6,4 
25,400,Joe Marcovecchio ,G,6-2 ,180 ,"Atlanta, Ga. ",1957 ,So.,1957 ,6,2 
20,311,Dick Rosenthal ,F ,6-5 ,185 ,"Durham, N.C. ",1955-57 ,Jr.,1957 ,6,5 
40,4,Bucky Allen ,G ,6-2 ,175 ,"Durham, N.C. ",1956-58 ,Sr.,1958 ,6,2 
31,86,Hayes Clement ,C ,6-7 ,225 ,"New Bern, N.C. ",1956-58 ,Sr.,1958 ,6,7 
30,166,Bobby Joe Harris ,G ,5-11 ,180 ,"King, N.C. ",1956-58 ,Sr.,1958 ,5,11 
32,223,Bob Lakata ,F/C ,6-7 ,220 ,"Johnson City, N.Y. ",1955-58 ,Sr.,1958 ,6,7 
23,262,Don Miller ,F ,6-4 ,0 ,"Miami Beach, Fla. ",1957-58 ,,1958 ,6,4 
33,277,Jim Newcome ,F ,6-5 ,210 ,"Gary, Ind. ",1956-58 ,Sr.,1958 ,6,5 
15,321,Paul Schmidt ,F ,6-5 ,195 ,"Johnstown, Pa. ",1956-58 ,Sr.,1958 ,6,5 
11,360,Bob Vernon ,G ,6-0 ,170 ,"Riverside, N.J. ",1957-58 ,Sr.,1958 ,6,0 
35,19,George Barrett ,,6-4 ,200 ,"Wabash, Ind. ",1957-59 ,Sr.,1959 ,6,4 
12,41,Jack Boyd ,G ,5-11 ,175 ,"Yeadon, Pa. ",1958-59 ,Jr.,1959 ,5,11 
24,205,Marty Joyce ,G ,5-11 ,165 ,"Philadelphia, Pa. ",1958-59 ,Sr.,1959 ,5,11 
11,268,Johnny Morris ,G ,6-2 ,170 ,"Roxboro, N.C. ",1959 ,Jr.,1959 ,6,2 
14,307,Jerry Robertson ,C ,6-6 ,195 ,"Burlington, N.C. ",1957-59 ,Sr.,1959 ,6,6 
22,362,Bill Watson ,G ,6-2 ,175 ,"Huntington, W.Va. ",1957-59 ,Sr.,1959 ,6,2 
25,363,Bob Wayand ,F ,6-6 ,210 ,"Scotia, N.Y. ",1958-59 ,So.,1959 ,6,6 
20,20,Larry Bateman ,C ,6-6 ,215 ,"Greensboro, N.C. ",1958-60 ,Sr.,1960 ,6,6 
25,491,C.B. Johnson ,F ,6-3 ,185 ,"New Orleans, La. ",1960 ,So.,1960 ,6,3 
31,3,Doug Albright ,F ,6-5 ,200 ,"Greensboro, N.C. ",1959-61 ,Sr.,1961 ,6,5 
40,22,Jay Beal ,G ,5-11 ,160 ,"Wethersfield, Conn. ",1959-61 ,Sr.,1961 ,5,11 
24,67,John Cantwell ,G,5-9 ,180 ,"Shawano, Wis. ",1960-61 ,Jr.,1961 ,5,9 
30,143,John Frye ,G ,6-0 ,175 ,"Huntington, W.Va. ",1959-61 ,Sr.,1961 ,6,0 
21,194,Howard Hurt ,F/G ,6-3 ,195 ,"Beckley, W.Va. ",1959-61 ,Sr.,1961 ,6,3 
